Question Text,Type,Options (JSON),Required,Weightage,Order,Group ID,Is Group Lead,Requires Evidence,Evidence Description
"What is your organization's carbon footprint reduction target?",single_select,"[{""text"":""No target set"",""absoluteScore"":0,""internalScore"":0},{""text"":""10-20% reduction"",""absoluteScore"":5,""internalScore"":4},{""text"":""20-40% reduction"",""absoluteScore"":8,""internalScore"":7},{""text"":"">40% reduction"",""absoluteScore"":10,""internalScore"":10}]",TRUE,2.0,1,carbon-emissions,TRUE,TRUE,Please upload your carbon reduction strategy document
"Do you track Scope 1 emissions?",single_select,"[{""text"":""Yes"",""absoluteScore"":10,""internalScore"":10},{""text"":""No"",""absoluteScore"":0,""internalScore"":0},{""text"":""Partially"",""absoluteScore"":5,""internalScore"":5}]",TRUE,1.5,2,carbon-emissions,FALSE,TRUE,Upload Scope 1 emissions report
"Do you track Scope 2 emissions?",single_select,"[{""text"":""Yes"",""absoluteScore"":10,""internalScore"":10},{""text"":""No"",""absoluteScore"":0,""internalScore"":0},{""text"":""Partially"",""absoluteScore"":5,""internalScore"":5}]",TRUE,1.5,3,carbon-emissions,FALSE,TRUE,Upload Scope 2 emissions report
"Do you track Scope 3 emissions?",single_select,"[{""text"":""Yes"",""absoluteScore"":10,""internalScore"":10},{""text"":""No"",""absoluteScore"":0,""internalScore"":0},{""text"":""Partially"",""absoluteScore"":5,""internalScore"":5}]",TRUE,2.0,4,carbon-emissions,FALSE,TRUE,Upload Scope 3 emissions report
"What renewable energy sources do you use?",multi_select,"[{""text"":""Solar"",""absoluteScore"":3,""internalScore"":3},{""text"":""Wind"",""absoluteScore"":3,""internalScore"":3},{""text"":""Hydro"",""absoluteScore"":2,""internalScore"":2},{""text"":""Geothermal"",""absoluteScore"":2,""internalScore"":2},{""text"":""Biomass"",""absoluteScore"":2,""internalScore"":2}]",FALSE,1.8,5,energy-management,TRUE,FALSE,
"What percentage of energy comes from renewable sources?",single_select,"[{""text"":""0-10%"",""absoluteScore"":2,""internalScore"":2},{""text"":""10-30%"",""absoluteScore"":5,""internalScore"":4},{""text"":""30-50%"",""absoluteScore"":7,""internalScore"":6},{""text"":"">50%"",""absoluteScore"":10,""internalScore"":10}]",TRUE,2.0,6,energy-management,FALSE,TRUE,Upload energy consumption report
"Do you have water conservation initiatives?",single_select,"[{""text"":""Yes"",""absoluteScore"":10,""internalScore"":10},{""text"":""No"",""absoluteScore"":0,""internalScore"":0},{""text"":""In Development"",""absoluteScore"":5,""internalScore"":5}]",TRUE,1.5,7,water-management,TRUE,FALSE,
"Annual water consumption reduction achieved",single_select,"[{""text"":""No reduction"",""absoluteScore"":0,""internalScore"":0},{""text"":""1-5%"",""absoluteScore"":3,""internalScore"":3},{""text"":""5-10%"",""absoluteScore"":6,""internalScore"":6},{""text"":"">10%"",""absoluteScore"":10,""internalScore"":10}]",FALSE,1.8,8,water-management,FALSE,TRUE,Upload water consumption data
"Describe your sustainability initiatives",text,,TRUE,1.0,9,,FALSE,FALSE,
"What are your future ESG goals?",text,,FALSE,0.5,10,,FALSE,FALSE,
"Which certifications do you hold?",multi_select,"[{""text"":""ISO 14001"",""absoluteScore"":5,""internalScore"":5},{""text"":""ISO 50001"",""absoluteScore"":5,""internalScore"":5},{""text"":""LEED"",""absoluteScore"":5,""internalScore"":5},{""text"":""B Corp"",""absoluteScore"":5,""internalScore"":5},{""text"":""Carbon Neutral"",""absoluteScore"":5,""internalScore"":5}]",FALSE,2.0,11,,FALSE,TRUE,Upload certification documents
