Question Text,Type,Option 1,Option 1 Absolute Score,Option 1 Internal Score,Option 2,Option 2 Absolute Score,Option 2 Internal Score,Option 3,Option 3 Absolute Score,Option 3 Internal Score,Option 4,Option 4 Absolute Score,Option 4 Internal Score,Option 5,Option 5 Absolute Score,Option 5 Internal Score,Required,Weightage,Order,Group ID,Is Group Lead,Requires Evidence,Evidence Description
"What is your organization's annual Scope 1 emissions (in metric tons CO2e)?",single_select,"0-1,000",10,10,"1,001-5,000",8,8,"5,001-10,000",6,6,"10,001-50,000",4,4,">50,000",2,2,TRUE,2.0,1,scope1-emissions,TRUE,TRUE,Upload annual GHG emissions report or calculation worksheet
"Do you have a formal Scope 1 emissions reduction target?",single_select,"Yes, science-based target approved by SBTi",10,10,"Yes, internal reduction target >20%",8,8,"Yes, internal reduction target 10-20%",6,6,"Yes, internal reduction target <10%",4,4,"No formal target",0,0,TRUE,1.8,2,scope1-emissions,FALSE,TRUE,Upload target documentation or SBTi approval letter
"What is your organization's annual Scope 2 emissions (in metric tons CO2e)?",single_select,"0-500",10,10,"501-2,500",8,8,"2,501-10,000",6,6,"10,001-25,000",4,4,">25,000",2,2,TRUE,1.8,3,scope2-emissions,TRUE,TRUE,Upload electricity consumption data and emission factors
"What percentage of your electricity comes from renewable sources?",single_select,"76-100%",10,10,"51-75%",8,8,"26-50%",6,6,"1-25%",4,4,"0%",0,0,TRUE,1.5,4,scope2-emissions,FALSE,TRUE,Upload renewable energy certificates or utility bills
"Do you track and report Scope 3 emissions?",single_select,"Yes, all 15 categories with third-party verification",10,10,"Yes, most significant categories (>80% of total)",8,8,"Yes, some categories (50-80% of total)",6,6,"Yes, limited categories (<50% of total)",4,4,"No tracking or reporting",0,0,TRUE,2.2,5,scope3-emissions,TRUE,TRUE,Upload Scope 3 emissions inventory or verification report
"What is your water consumption intensity (liters per unit of production)?",single_select,"Decreased by >20% vs baseline",10,10,"Decreased by 10-20% vs baseline",8,8,"Decreased by 1-9% vs baseline",6,6,"No change vs baseline",4,4,"Increased vs baseline",2,2,TRUE,1.4,6,water-management,TRUE,TRUE,Upload water consumption data and production metrics
"Do you have water recycling or reuse systems in place?",single_select,"Yes, >50% water recycled/reused",10,10,"Yes, 25-50% water recycled/reused",8,8,"Yes, 10-24% water recycled/reused",6,6,"Yes, <10% water recycled/reused",4,4,"No recycling/reuse systems",0,0,TRUE,1.2,7,water-management,FALSE,FALSE,
"What percentage of your waste is diverted from landfills?",single_select,"90-100%",10,10,"75-89%",8,8,"50-74%",6,6,"25-49%",4,4,"0-24%",2,2,TRUE,1.3,8,waste-management,TRUE,TRUE,Upload waste management reports or certification
"Do you have formal policies for hazardous waste management?",single_select,"Yes, comprehensive policy with third-party certification",10,10,"Yes, comprehensive internal policy",8,8,"Yes, basic policy in place",6,6,"Limited/informal procedures",3,3,"No formal policy",0,0,TRUE,1.6,9,waste-management,FALSE,TRUE,Upload hazardous waste management policy document
"What renewable energy sources does your organization use?",multi_select,"Solar photovoltaic",2.5,2.5,"Wind power",2.5,2.5,"Hydroelectric",2,2,"Geothermal",2,2,"Biomass/Biogas",1.5,1.5,FALSE,1.2,10,renewable-energy,TRUE,TRUE,Upload renewable energy certificates or contracts
"Do you have energy efficiency improvement targets?",single_select,"Yes, >30% efficiency improvement target",10,10,"Yes, 20-30% efficiency improvement target",8,8,"Yes, 10-19% efficiency improvement target",6,6,"Yes, <10% efficiency improvement target",4,4,"No efficiency targets",0,0,TRUE,1.4,11,renewable-energy,FALSE,FALSE,
"What percentage of your workforce are women?",single_select,"40-60% (gender balanced)",10,10,"30-39% or 61-70%",8,8,"20-29% or 71-80%",6,6,"10-19% or 81-90%",4,4,"<10% or >90%",2,2,TRUE,1.8,12,diversity-inclusion,TRUE,TRUE,Upload diversity and inclusion report or HR statistics
"What percentage of leadership positions are held by women?",single_select,"40-60%",10,10,"30-39%",8,8,"20-29%",6,6,"10-19%",4,4,"<10%",2,2,TRUE,2.0,13,diversity-inclusion,FALSE,TRUE,Upload leadership diversity statistics
"Do you have formal diversity and inclusion policies?",single_select,"Yes, comprehensive D&I policy with measurable targets",10,10,"Yes, D&I policy with some targets",8,8,"Yes, basic D&I policy",6,6,"Informal D&I guidelines",3,3,"No D&I policies",0,0,TRUE,1.5,14,diversity-inclusion,FALSE,TRUE,Upload diversity and inclusion policy document
"What is your employee turnover rate?",single_select,"0-5%",10,10,"6-10%",8,8,"11-15%",6,6,"16-25%",4,4,">25%",2,2,TRUE,1.3,15,employee-retention,TRUE,TRUE,Upload HR retention metrics report
"Do you provide professional development opportunities?",multi_select,"Internal training programs",2,2,"External training/certifications",2,2,"Mentorship programs",2,2,"Tuition reimbursement",2,2,"Leadership development programs",2,2,TRUE,1.2,16,employee-retention,FALSE,FALSE,
"What is your workplace injury/accident rate per 100 employees?",single_select,"0 incidents",10,10,"0.1-1 incidents",8,8,"1.1-3 incidents",6,6,"3.1-5 incidents",4,4,">5 incidents",0,0,TRUE,2.0,17,workplace-safety,TRUE,TRUE,Upload workplace safety incident reports
"Do you have formal health and safety training programs?",single_select,"Yes, comprehensive annual training for all employees",10,10,"Yes, role-specific training programs",8,8,"Yes, basic safety orientation",6,6,"Limited/informal training",3,3,"No formal safety training",0,0,TRUE,1.7,18,workplace-safety,FALSE,TRUE,Upload safety training curriculum or certificates
"What percentage of your supply chain has signed your code of conduct?",single_select,"90-100%",10,10,"75-89%",8,8,"50-74%",6,6,"25-49%",4,4,"<25%",2,2,TRUE,1.6,19,supply-chain,TRUE,TRUE,Upload supplier code of conduct compliance report
